param,total_pnl,final_cap,return_pct,cagr,max_dd,max_dd_pct,sharpe,sortino,n_trades,n_days,win_rate,avg_win,avg_loss,profit_factor,years
BASE,337518.81999999995,1337518.82,33.75188200000001,10.235646686834897,-71044.97000000009,-7.104497000000008,1.8537368297729375,1.0381582177764554,391,748,69.0537084398977,2678.0165555555554,-4331.973595505618,1.875431534501816,2.9842573579739904
VRP_strong=.08,336820.95999999996,1336820.96,33.68209600000001,10.216370126876505,-67340.76000000001,-6.734076000000002,1.8152602805691835,1.0090241494331427,394,748,69.03553299492386,2708.8664338235294,-4444.341222222222,1.842071957121204,2.9842573579739904
VRP_strong=.12,327390.38,1327390.38,32.739038,9.955216332819127,-67057.27000000002,-6.705727000000001,1.8194275201691692,1.0198204994021927,388,748,68.81443298969072,2631.0200000000004,-4214.516404494382,1.8728269728841962,2.9842573579739904
VRP_strong=.15,321356.39,1321356.39,32.13563899999998,9.787473884855169,-66425.75,-6.642575000000001,1.7999188254979142,0.992598671752295,384,748,69.01041666666666,2583.444754716981,-4175.36172413793,1.8846542774585684,2.9842573579739904
VRP_weak=.03,337473.31,1337473.31,33.747331,10.234389795802844,-71044.97000000009,-7.104497000000008,1.8523835642206017,1.0468608575242162,400,748,68.5,2645.497700729927,-4257.066593406593,1.8711392764754229,2.9842573579739904
VRP_weak=.07,335622.89,1335622.89,33.562289,10.1832609624938,-70973.3000000001,-7.09733000000001,1.8446564518987194,1.0296268031135432,385,748,68.83116883116884,2718.1565283018867,-4371.461249999999,1.8724534564438213,2.9842573579739904
kurt_max=3.0,341107.10000000003,1341107.1,34.11071000000001,10.33465809975256,-68071.46000000002,-6.807146000000001,1.9014982344997533,1.066396758537925,388,748,69.0721649484536,2669.0650373134326,-4252.299204545455,1.9115579264298004,2.9842573579739904
kurt_max=5.0,343809.95,1343809.95,34.380995000000006,10.409121592461634,-71145.28000000009,-7.114528000000009,1.8771457787656702,1.057891229612604,395,748,68.35443037974683,2717.1391481481483,-4379.973258426966,1.8819764227178855,2.9842573579739904
skew_max=0.3,335716.45999999996,1335716.46,33.571646,10.18584751923206,-70846.21000000008,-7.084621000000007,1.8672559769181811,1.0495852997357242,391,748,69.0537084398977,2636.955111111111,-4227.656404494382,1.8922425796405065,2.9842573579739904
skew_max=1.0,357237.61,1357237.61,35.72376100000001,10.777584715608302,-71395.27999999997,-7.139527999999997,1.8895022629974276,1.0579035280804627,391,748,69.0537084398977,2829.6943333333334,-4570.560224719102,1.878208694992913,2.9842573579739904
max_risk=.02,236523.5,1236523.5,23.652350000000013,7.373288506747078,-56129.889999999985,-5.612988999999999,1.909294307522297,1.0825811480783523,391,748,69.0537084398977,2015.7295185185185,-3457.5670786516853,1.7686235307303666,2.9842573579739904
max_risk=.06,369252.87,1369252.87,36.92528700000002,11.105241450153368,-82327.64000000007,-8.232764000000008,1.8152519722684957,1.0212221383267002,391,748,69.0537084398977,2854.302740740741,-4510.21202247191,1.9198921538530027,2.9842573579739904
refit=3,255371.52000000002,1255371.52,25.537151999999995,7.918965288104318,-131560.35000000006,-13.156035000000008,1.210763947284848,0.5920365545390489,389,748,70.95115681233933,2552.5243115942026,-4990.279888888889,1.5685976331009177,2.9842573579739904
refit=10,239609.97000000003,1239609.97,23.960997000000006,7.463023043124273,-163920.11000000004,-16.392011000000004,1.0837415233768535,0.5256532383605053,386,748,67.61658031088082,2746.087816091954,-5360.887078651686,1.502201746545594,2.9842573579739904
mc_sims=1500,324928.43,1324928.43,32.49284299999999,9.886836487920725,-72741.69,-7.274169,1.845623980606106,1.0394404653859193,394,748,69.03553299492386,2552.3855514705883,-4149.667865168539,1.8798008309531964,2.9842573579739904
mc_sims=5000,330388.4,1330388.4,33.03883999999999,10.038371570457372,-71261.03000000003,-7.126103000000003,1.8221731363366425,1.0194368771555833,392,748,69.13265306122449,2633.119077490775,-4305.470449438202,1.8622122151523617,2.9842573579739904
iv_haircut=.01,730497.24,1730497.24,73.049724,20.173609501021474,-88789.06,-8.878906,2.923654839686364,1.6626561378104412,500,748,74.2,3405.4052291105118,-5669.235106382981,2.3707752612504844,2.9842573579739904
iv_haircut=.03,165577.04,1165577.04,16.557704000000008,5.268233299154068,-72837.55,-7.283755,1.0913554172215525,0.5530090779913132,284,748,59.154929577464785,2699.857738095238,-3645.5577215189874,1.574922154259809,2.9842573579739904
spread=.08,63423.42,1063423.42,6.34234199999999,2.081967992739475,-75471.25000000001,-7.547125000000002,0.4136736924140137,0.24035085426755834,391,748,61.125319693094625,1958.7214644351466,-3429.754322033899,1.1567128603691803,2.9842573579739904
spread=.12,-52480.52000000004,947519.48,-5.248052000000003,-1.7901875918459487,-125774.54000000004,-12.577454000000005,-0.36847361103884707,-0.21821821866595237,391,748,56.01023017902813,1682.4821917808217,-3118.1045925925923,0.8753266348036886,2.9842573579739904
stop=1.5x,345690.76,1345690.76,34.56907600000001,10.460879151250158,-71145.28000000009,-7.114528000000009,1.907447517743051,1.0690269081847403,391,748,69.0537084398977,2681.487037037037,-4250.682471910111,1.9137746393348498,2.9842573579739904
stop=2.0x,341501.33999999997,1341501.34,34.150134,10.345525620195218,-71044.97000000009,-7.104497000000008,1.8811036416958389,1.0540535696296276,391,748,69.0537084398977,2678.6797037037036,-4289.23797752809,1.894586340969709,2.9842573579739904
stop=3.0x,337518.81999999995,1337518.82,33.75188200000001,10.235646686834897,-71044.97000000009,-7.104497000000008,1.8537368297729375,1.0381582177764554,391,748,69.0537084398977,2678.0165555555554,-4331.973595505618,1.875431534501816,2.9842573579739904
stop=inf(none),337518.81999999995,1337518.82,33.75188200000001,10.235646686834897,-71044.97000000009,-7.104497000000008,1.8537368297729375,1.0381582177764554,391,748,69.0537084398977,2678.0165555555554,-4331.973595505618,1.875431534501816,2.9842573579739904
